year,quarter,market,log_total_leased_sf,log_overall_rent,availability_proportion,avg_occupancy_proportion,unemployment_rate,z_log_total_leased_sf,z_log_overall_rent,z_availability_proportion,z_avg_occupancy_proportion,z_unemployment_rate,trend_score
2020,Q1,Atlanta,13.739688348113562,3.392498825345564,0.196612018,0.413846154,3.6,0.18276973112582634,-0.5960166062446763,-0.47068152702422295,-0.20338791954190785,-0.5918851795671323,-0.3358403002504226
2020,Q1,Austin,13.757508494234166,3.6973375632469705,0.1364100935,0.82,4.033333333333333,0.2051072404785122,0.3194177992458165,-1.661029802171904,2.0580286055769434,-0.421957968850215,0.0999131748558306
2020,Q1,Baltimore,12.568557181063872,3.2197476167472066,0.15410179200000002,0.41,3.3666666666666667,-1.285240307632917,-1.1147905686016173,-1.3112190117559293,-0.22480284962175762,-0.6833844468762416,-0.9238874368976926
2020,Q1,Boston,14.439813427430195,3.6903147051482375,0.1403795855,0.413846154,2.9927272727272727,1.0603747968442852,0.2983280716976822,-1.5825426442503578,-0.20338791954190785,-0.8300209350053857,-0.2514497260511368
2020,Q1,Charlotte,13.168706741073546,3.4280788197894205,0.1129995,0.82,3.8666666666666663,-0.5329543095834234,-0.4891694539263867,-2.1239179876303025,2.0580286055769434,-0.4873145883567218,-0.3150655467839782
2020,Q1,Chicago,14.936704940962146,3.2126056028481305,0.2231085245,0.788571429,4.233333333333333,1.683227087486107,-1.1362381224548948,0.05322316658261199,1.8830380434531737,-0.34353002544240696,0.4279440299249182
2020,Q1,Chicago Suburbs,13.862665099517738,3.228182004934453,0.2635075995,0.831428571,4.233333333333333,0.3369207866818506,-1.0894619991782477,0.8520177174746162,2.1216615357398014,-0.34353002544240696,0.3755216030551227
2020,Q1,Dallas/Ft Worth,14.45654463450035,3.2126056028481305,0.1515904815,0.838571429,4.033333333333333,1.0813473237743079,-1.1362381224548948,-1.3608741373497177,2.1614321233554548,-0.421957968850215,0.06474184369498702
2020,Q1,Denver,13.481589065427622,3.5049566159530077,0.24265451,0.413846154,3.1666666666666665,-0.14075708520329158,-0.25830450509828046,0.43969802298004473,-0.20338791954190785,-0.7618123902840497,-0.18491277542949697
2020,Q1,Detroit,13.578625523451846,3.0491891161073883,0.190620554,0.41,3.7,-0.01912212362677319,-1.6269798025206361,-0.5891483185303554,-0.22480284962175762,-0.5526712078632282,-0.6025448604325501
2020,Q1,Houston,14.954170461398016,3.407011616194207,0.2566826615,0.835714286,4.033333333333333,1.7051200744147994,-0.5524345203392027,0.7170709820710018,2.1455238894227695,-0.421957968850215,0.7186644913438306
2020,Q1,Los Angeles,14.692402448821325,3.804644018471499,0.175717986,0.831428571,4.733333333333333,1.3769945141869213,0.6416603781254392,-0.883810760992158,2.1216615357398014,-0.147460166922887,0.6218091000274234
2020,Q1,Manhattan,15.62399275305888,4.441294511469065,0.113108217,0.732857143,4.133333333333333,2.5447406703038804,2.5535294849676093,-2.121768370412846,1.5728274956855237,-0.3827439971463112,0.8333170566795712
